run,arm,panel,n_logged,n_batches,best_is_sr,chosen_best_sr,n_star,n_star_chosen,null_p95,mean_complexity
OPTS-SYN0-08-s9001,OPT-soft,SYN0-08,236,12,1.0687,1.0687,141.66215355315344,141.66215355315344,0.7060599999999995,4.38135593220339
OPTS-SYN0-08-s9002,OPT-soft,SYN0-08,205,12,1.19,1.19,391.39230908561024,391.39230908561024,0.7060599999999995,4.746341463414634
OPTS-SYN0-09-s9000,OPT-soft,SYN0-09,202,12,1.3313,1.3313,130.38832705424747,130.38832705424747,0.7956699999999999,3.410891089108911
OPTS-SYN0-09-s9001,OPT-soft,SYN0-09,233,12,1.5689,1.5689,367.2121759588075,367.2121759588075,0.7956699999999999,3.9871244635193133
OPTS-SYN0-09-s9002,OPT-soft,SYN0-09,236,12,1.0989,1.0989,46.7451658651623,46.7451658651623,0.7956699999999999,5.533898305084746
OPTS-SYN0-10-s9000,OPT-soft,SYN0-10,233,12,1.294,1.294,1391.5789260311133,1391.5789260311133,0.625095,4.8626609442060085
OPTS-SYN0-10-s9001,OPT-soft,SYN0-10,248,12,1.9126,1.9126,10000000.0,10000000.0,0.625095,4.165322580645161
OPTS-SYN0-10-s9002,OPT-soft,SYN0-10,225,12,0.9637,0.9637,136.4670784197299,136.4670784197299,0.625095,4.684444444444445
OPTS-SYN0-11-s9000,OPT-soft,SYN0-11,186,12,0.9075,0.9075,38.164616394476084,38.164616394476084,0.6804,3.306451612903226
OPTS-SYN0-11-s9001,OPT-soft,SYN0-11,226,12,1.1221,1.1221,129.23724396182945,129.23724396182945,0.6804,4.216814159292035
OPTS-SYN0-11-s9002,OPT-soft,SYN0-11,205,12,1.2898,1.2898,320.3517333337753,320.3517333337753,0.6804,3.653658536585366
