run,arm,panel,n_logged,n_batches,best_is_sr,chosen_best_sr,n_star,n_star_chosen,null_p95,mean_complexity
OPTM-SYN0-07-s9002,OPT-medium,SYN0-07,224,12,1.3578,1.3578,318.48218594780485,318.48218594780485,0.7702,3.763392857142857
OPTM-SYN0-08-s9000,OPT-medium,SYN0-08,173,12,1.2426,1.2426,602.5646487902826,602.5646487902826,0.7060599999999995,3.5028901734104045
OPTM-SYN0-08-s9001,OPT-medium,SYN0-08,237,12,1.1951,1.1951,407.9521299802877,407.9521299802877,0.7060599999999995,5.215189873417722
OPTM-SYN0-08-s9002,OPT-medium,SYN0-08,219,12,1.4089,1.4089,10000000.0,10000000.0,0.7060599999999995,6.255707762557078
OPTM-SYN0-09-s9000,OPT-medium,SYN0-09,191,12,1.4316,1.4316,201.18832612108426,201.18832612108426,0.7956699999999999,3.7591623036649215
OPTM-SYN0-09-s9001,OPT-medium,SYN0-09,193,12,1.6782,1.6782,604.2426468145158,604.2426468145158,0.7956699999999999,4.61139896373057
OPTM-SYN0-09-s9002,OPT-medium,SYN0-09,231,12,1.8969,1.8969,1676.7987890870013,1676.7987890870013,0.7956699999999999,5.688311688311688
OPTM-SYN0-10-s9000,OPT-medium,SYN0-10,143,12,1.0637,1.0637,271.01920750341003,271.01920750341003,0.625095,3.104895104895105
OPTM-SYN0-10-s9001,OPT-medium,SYN0-10,236,12,1.4495,1.4495,10000000.0,10000000.0,0.625095,4.703389830508475
OPTM-SYN0-10-s9002,OPT-medium,SYN0-10,232,12,1.2071,1.2071,675.0379791988827,675.0379791988827,0.625095,6.189655172413793
OPTM-SYN0-11-s9000,OPT-medium,SYN0-11,143,12,1.559,1.559,10000000.0,10000000.0,0.6804,2.6573426573426575
OPTM-SYN0-11-s9001,OPT-medium,SYN0-11,224,12,1.3478,1.3478,440.22414404902946,440.22414404902946,0.6804,5.116071428571429
OPTM-SYN0-11-s9002,OPT-medium,SYN0-11,207,12,1.1856,1.1856,183.30357220559725,183.30357220559725,0.6804,3.57487922705314
OPTM-SYNA05-00-s9000,OPT-medium,SYNA05-00,214,12,1.4631,1.4631,10000000.0,10000000.0,0.8310999999999993,4.485981308411215
OPTM-SYNA05-00-s9001,OPT-medium,SYNA05-00,205,12,1.808,1.808,10000000.0,10000000.0,0.8310999999999993,6.1414634146341465
OPTM-SYNA05-00-s9002,OPT-medium,SYNA05-00,221,12,1.7634,1.7634,10000000.0,10000000.0,0.8310999999999993,4.5656108597285066
OPTM-SYNA05-01-s9000,OPT-medium,SYNA05-01,146,12,1.6612,1.6612,239.91926532811817,239.91926532811817,1.1824,3.315068493150685
OPTM-SYNA05-01-s9001,OPT-medium,SYNA05-01,197,12,1.6612,1.6612,239.91926532811817,239.91926532811817,1.1824,4.355329949238579
OPTM-SYNA05-01-s9002,OPT-medium,SYNA05-01,118,12,1.6612,1.6612,239.91926532811817,239.91926532811817,1.1824,3.4745762711864407
OPTM-SYNA05-02-s9000,OPT-medium,SYNA05-02,217,12,1.3491,1.3491,457.41103684515906,457.41103684515906,0.7697949999999993,3.815668202764977
