run,arm,setting,n_logged,mean_abs_rho,sd_trial_sr,adaptivity,li_ji_meff
AG-REAL-01,AGENT,REAL,300,0.4208168784208107,1.0159348328127262,2.660088,26.999999999999996
AG-REAL-02,AGENT,REAL,300,0.5684867143149313,0.8746888978914478,2.9579480000000005,23.0
AG-REAL-03,AGENT,REAL,260,0.640297923542447,0.8682111769385066,2.7597066666666668,19.99999999999998
AG-REAL-04,AGENT,REAL,250,0.6375172188901145,0.8518579652389006,2.418276,19.000000000000018
AG-REAL-05,AGENT,REAL,261,0.5750449157826809,0.9171406654669059,3.0709263333333334,23.000000000000018
AG-REAL-06,AGENT,REAL,300,0.5197517427935614,1.0230424792601072,3.0160600000000004,21.99999999999995
AG-SYN0-00,AGENT,SYN0,126,0.2547036691034257,0.8526237232462528,1.9998135,34.99999999999996
AG-SYN0-01,AGENT,SYN0,159,0.3803025798268099,0.7068759823316771,2.0123035555555555,23.99999999999998
AG-SYN0-02,AGENT,SYN0,145,0.5680542853821161,0.5390495394272387,1.238789,22.999999999999996
AG-SYN0-03,AGENT,SYN0,164,0.3560552473110774,0.8994459137578693,1.9887345714285716,27.99999999999999
AG-SYN0-04,AGENT,SYN0,139,0.4399657386074057,0.6560531858346208,1.456652,23.99999999999999
AG-SYN0-05,AGENT,SYN0,198,0.33386711167390243,0.6097634894265974,1.88866,24.00000000000001
AG-SYN0-06,AGENT,SYN0,128,0.5936181712872807,0.7964707474067139,1.731704,19.999999999999936
AG-SYN0-07,AGENT,SYN0,121,0.3583883054870053,0.8095860080700567,1.782369142857143,30.000000000000032
AG-SYN0-08,AGENT,SYN0,147,0.29724117800782185,0.6319596815860598,1.365868,34.000000000000036
AG-SYN0-09,AGENT,SYN0,137,0.402960644136408,0.7394459826724503,1.9120849999999998,22.0
AG-SYN0-10,AGENT,SYN0,203,0.5413271248323027,0.7732615985623534,2.0292114999999997,23.00000000000002
AG-SYN0-11,AGENT,SYN0,182,0.4138824565881894,0.654273084989654,1.7298975,28.99999999999999
AG-SYNA05-00,AGENT,SYNA05,297,0.4728104359303351,0.7996375102133798,2.0519920000000003,24.999999999999982
AG-SYNA05-01,AGENT,SYNA05,275,0.5432714217612608,0.9589019856564422,2.3793799999999994,21.000000000000064
AG-SYNA05-02,AGENT,SYNA05,250,0.3121613734618139,1.0547400489918641,2.2162889999999997,35.0
AG-SYNA05-03,AGENT,SYNA05,300,0.47390475533904536,0.7505111749316077,1.9481720000000002,26.99999999999999
AG-SYNA10-00,AGENT,SYNA10,300,0.46605686519764994,1.0376594843762572,2.7734439999999996,31.0
AG-SYNA10-01,AGENT,SYNA10,299,0.5227620571900262,0.8606297430702166,2.273646666666667,23.99999999999997
AG-SYNA10-02,AGENT,SYNA10,295,0.48024529588238196,1.168746888627234,3.326047,25.999999999999915
AG-SYNA10-03,AGENT,SYNA10,299,0.4008366931331717,1.0978124384954486,2.348836,29.000000000000025
AGB-SYN0-00,AGENT,SYN0,300,0.48592558729781665,0.7398715186072662,2.251044,26.000000000000004
AGB-SYN0-01,AGENT,SYN0,300,0.5252613241722675,0.6190849094227705,1.9514759999999998,18.0
AGB-SYN0-02,AGENT,SYN0,300,0.36295233183247927,0.873697011596634,1.9338400000000002,29.999999999999993
OPTM-REAL-s9000,OPT-medium,REAL,151,0.2706724606815259,0.6876299777475472,0.8983395,40.999999999999986
OPTM-REAL-s9001,OPT-medium,REAL,195,0.19258765224908259,0.6533913225631244,0.378548,52.000000000000036
OPTM-REAL-s9002,OPT-medium,REAL,157,0.2628430141691199,0.5950507668578703,0.49129999999999996,41.99999999999996
OPTM-REAL-s9003,OPT-medium,REAL,195,0.2535967195113204,0.6748587487781179,0.929116,37.99999999999998
OPTM-SYN0-00-s9001,OPT-medium,SYN0,245,0.11310720228047207,0.4492454642409031,0.2938295,73.00000000000001
OPTM-SYN0-00-s9002,OPT-medium,SYN0,236,0.24176948391620384,0.5607168269726466,0.7717319999999999,45.000000000000014
OPTM-SYN0-01-s9001,OPT-medium,SYN0,201,0.11314294152075012,0.5505910694164459,0.421132,60.00000000000003
OPTM-SYN0-01-s9002,OPT-medium,SYN0,225,0.1493780201192838,0.5352202011068797,0.429432,52.99999999999999
OPTM-SYN0-02-s9000,OPT-medium,SYN0,163,0.12027210354239704,0.4826832257494431,0.4292606666666666,61.99999999999998
OPTM-SYN0-02-s9001,OPT-medium,SYN0,202,0.1881823731790445,0.5039951036777772,0.604196,49.00000000000002
OPTM-SYN0-02-s9002,OPT-medium,SYN0,152,0.18798436585496914,0.4592123049802493,0.429724,48.99999999999995
OPTM-SYN0-03-s9000,OPT-medium,SYN0,223,0.14194342163711024,0.5452129861603686,0.4175318333333333,56.0
OPTM-SYN0-03-s9001,OPT-medium,SYN0,230,0.10162468417484508,0.503890888479468,0.165652,69.00000000000001
OPTM-SYN0-03-s9002,OPT-medium,SYN0,244,0.1465564846416967,0.5077526641525488,0.369888,62.999999999999964
OPTM-SYN0-04-s9001,OPT-medium,SYN0,209,0.15363064389392758,0.5710969234579631,0.334372,56.00000000000001
OPTM-SYN0-04-s9002,OPT-medium,SYN0,179,0.200551873626546,0.44233821416972935,0.41423999999999994,48.00000000000005
OPTM-SYN0-05-s9001,OPT-medium,SYN0,238,0.1284095970677574,0.4947426598577157,0.36959600000000004,64.0
OPTM-SYN0-05-s9002,OPT-medium,SYN0,228,0.2332015266096945,0.41596692547696473,0.3372523333333333,44.0
OPTM-SYN0-06-s9000,OPT-medium,SYN0,110,0.19336101693544566,0.564077254304001,0.7963341666666667,42.00000000000003
OPTM-SYN0-06-s9001,OPT-medium,SYN0,179,0.1475259548687456,0.5682379053898223,0.6354040000000001,57.00000000000002
OPTM-SYN0-06-s9002,OPT-medium,SYN0,186,0.1862990992897893,0.5922295320061156,0.5083160000000001,46.99999999999999
OPTM-SYN0-07-s9000,OPT-medium,SYN0,222,0.1565691515948541,0.5287806760635032,0.22701649999999995,58.000000000000036
OPTM-SYN0-07-s9001,OPT-medium,SYN0,133,0.18369140430137024,0.4881058922495516,0.75214,50.0
OPTM-SYN0-07-s9002,OPT-medium,SYN0,224,0.11483552362899276,0.4273472453089904,0.315632,65.00000000000001
OPTM-SYN0-08-s9000,OPT-medium,SYN0,173,0.11254841599671392,0.5006668887279667,0.147073,67.00000000000001
OPTM-SYN0-08-s9001,OPT-medium,SYN0,237,0.11207233738076273,0.5513461990025427,0.462544,64.99999999999999
OPTM-SYN0-08-s9002,OPT-medium,SYN0,219,0.22067581009256476,0.5597282663268566,0.3567240000000001,44.99999999999998
OPTM-SYN0-09-s9000,OPT-medium,SYN0,191,0.15207066521960733,0.5019397245425185,0.5225105,56.000000000000036
OPTM-SYN0-09-s9001,OPT-medium,SYN0,193,0.14501014919829025,0.5866936477147959,0.8714239999999999,60.999999999999986
OPTM-SYN0-09-s9002,OPT-medium,SYN0,231,0.17698120060507994,0.574565925593417,0.39376799999999995,55.00000000000002
OPTM-SYN0-10-s9000,OPT-medium,SYN0,143,0.14994193985935822,0.481599848534309,0.19651883333333334,55.0
OPTM-SYN0-10-s9001,OPT-medium,SYN0,236,0.142442039464505,0.5447953152519799,0.4215955,63.000000000000036
OPTM-SYN0-10-s9002,OPT-medium,SYN0,232,0.20495636143728777,0.5120978553978567,0.18623599999999998,47.0
OPTM-SYN0-11-s9000,OPT-medium,SYN0,143,0.1963707877986186,0.36496856373802045,0.5954885,46.00000000000001
OPTM-SYN0-11-s9001,OPT-medium,SYN0,224,0.16753783465180078,0.49676463452439745,0.6661680000000001,56.0
OPTM-SYN0-11-s9002,OPT-medium,SYN0,207,0.16491645107457933,0.4130739457062679,0.218816,49.00000000000004
OPTM-SYNA05-00-s9000,OPT-medium,SYNA05,214,0.11425827570359748,0.5109492475453152,0.5598316666666666,65.99999999999999
OPTM-SYNA05-00-s9001,OPT-medium,SYNA05,205,0.11714128259749358,0.5695879764173736,0.7273799999999999,66.99999999999999
