run,arm,rule,sr_is,sr_oos,decay
AG-REAL-01,AGENT,chosen,2.8288476920742402,0.30950119339042026,2.51934649868382
AG-REAL-01,AGENT,argmax,2.896615674220431,0.2134999684945787,2.6831157057258523
AG-REAL-02,AGENT,chosen,2.8883855916159535,1.4171804286837828,1.4712051629321707
AG-REAL-02,AGENT,argmax,2.919245307603364,1.432840703608848,1.4864046039945162
AG-REAL-03,AGENT,chosen,2.728295221255586,0.7955301946945952,1.9327650265609908
AG-REAL-03,AGENT,argmax,2.737347965098017,0.8149933685843507,1.9223545965136661
AG-REAL-04,AGENT,chosen,2.2331058594689925,0.3539487305879536,1.879157128881039
AG-REAL-04,AGENT,argmax,2.2442432853876415,0.37535156511886936,1.8688917202687723
AG-REAL-05,AGENT,chosen,3.002387677622295,0.7059984606444693,2.2963892169778255
AG-REAL-05,AGENT,argmax,3.072122585494995,0.6142129040921018,2.457909681402893
AG-REAL-06,AGENT,chosen,3.0834409059399106,0.8271965464315375,2.256244359508373
AG-REAL-06,AGENT,argmax,3.0829387828603627,0.854115975952601,2.2288228069077616
CS-REAL-s9500,CANON-SAMPLER,chosen,1.8796157946963843,0.9746546911900666,0.9049611035063176
CS-REAL-s9500,CANON-SAMPLER,argmax,1.8796157946963843,0.9746546911900666,0.9049611035063176
CS-REAL-s9501,CANON-SAMPLER,chosen,1.7490825871580749,1.0409374370450868,0.7081451501129881
CS-REAL-s9501,CANON-SAMPLER,argmax,1.7490825871580749,1.0409374370450868,0.7081451501129881
CS-REAL-s9502,CANON-SAMPLER,chosen,1.87613724566725,0.9899288337900571,0.8862084118771929
CS-REAL-s9502,CANON-SAMPLER,argmax,1.87613724566725,0.9899288337900571,0.8862084118771929
CS-REAL-s9503,CANON-SAMPLER,chosen,1.5984214541033308,1.0450261492739477,0.5533953048293832
CS-REAL-s9503,CANON-SAMPLER,argmax,1.5984214541033308,1.0450261492739477,0.5533953048293832
CS-REAL-s9504,CANON-SAMPLER,chosen,1.4609937052167794,1.3638620513357187,0.09713165388106071
CS-REAL-s9504,CANON-SAMPLER,argmax,1.4609937052167794,1.3638620513357187,0.09713165388106071
OPTH-REAL-s9000,OPT-hard,chosen,1.2683844554182395,1.4585414469421913,-0.19015699152395182
OPTH-REAL-s9000,OPT-hard,argmax,1.2683844554182395,1.4585414469421913,-0.19015699152395182
OPTH-REAL-s9001,OPT-hard,chosen,1.1509596119306031,1.3205145047280378,-0.16955489279743463
OPTH-REAL-s9001,OPT-hard,argmax,1.1509596119306031,1.3205145047280378,-0.16955489279743463
OPTH-REAL-s9002,OPT-hard,chosen,1.4046847007417491,0.731533763665107,0.6731509370766421
OPTH-REAL-s9002,OPT-hard,argmax,1.4046847007417491,0.731533763665107,0.6731509370766421
OPTH-REAL-s9003,OPT-hard,chosen,1.6595414606776238,-0.10462865328971696,1.7641701139673407
OPTH-REAL-s9003,OPT-hard,argmax,1.6595414606776238,-0.10462865328971696,1.7641701139673407
OPTH-REAL-s9004,OPT-hard,chosen,1.3147122494467967,1.2762284312099406,0.03848381823685609
OPTH-REAL-s9004,OPT-hard,argmax,1.3147122494467967,1.2762284312099406,0.03848381823685609
OPTM-REAL-s9000,OPT-medium,chosen,1.4392588272342615,0.9783323668221502,0.46092646041211127
OPTM-REAL-s9000,OPT-medium,argmax,1.4392588272342615,0.9783323668221502,0.46092646041211127
OPTM-REAL-s9001,OPT-medium,chosen,1.4197501233135368,1.282048399888911,0.13770172342462583
OPTM-REAL-s9001,OPT-medium,argmax,1.4197501233135368,1.282048399888911,0.13770172342462583
OPTM-REAL-s9002,OPT-medium,chosen,1.3311602459220204,-0.2085715122790252,1.5397317582010457
OPTM-REAL-s9002,OPT-medium,argmax,1.3311602459220204,-0.2085715122790252,1.5397317582010457
OPTM-REAL-s9003,OPT-medium,chosen,1.9091381652154926,-0.09215056550864974,2.0012887307241423
OPTM-REAL-s9003,OPT-medium,argmax,1.9091381652154926,-0.09215056550864974,2.0012887307241423
OPTM-REAL-s9004,OPT-medium,chosen,1.2587438949461867,1.1882224140709303,0.07052148087525634
OPTM-REAL-s9004,OPT-medium,argmax,1.2587438949461867,1.1882224140709303,0.07052148087525634
OPTS-REAL-s9000,OPT-soft,chosen,1.2455291529759709,1.2392123427820458,0.006316810193925049
OPTS-REAL-s9000,OPT-soft,argmax,1.2455291529759709,1.2392123427820458,0.006316810193925049
OPTS-REAL-s9001,OPT-soft,chosen,1.6424393055453568,1.3664534390035967,0.27598586654176005
OPTS-REAL-s9001,OPT-soft,argmax,1.6424393055453568,1.3664534390035967,0.27598586654176005
OPTS-REAL-s9002,OPT-soft,chosen,1.9675668177001029,0.6870675985677815,1.2804992191323215
OPTS-REAL-s9002,OPT-soft,argmax,1.9675668177001029,0.6870675985677815,1.2804992191323215
OPTS-REAL-s9003,OPT-soft,chosen,1.6022763724814642,0.8211260989475513,0.7811502735339129
OPTS-REAL-s9003,OPT-soft,argmax,1.6022763724814642,0.8211260989475513,0.7811502735339129
OPTS-REAL-s9004,OPT-soft,chosen,1.7703564527400417,1.5289410485270805,0.24141540421296126
OPTS-REAL-s9004,OPT-soft,argmax,1.7703564527400417,1.5289410485270805,0.24141540421296126
