run,arm,panel,setting,ckpt,rule,sr_is,sr_oos,decay,n_logged,legs,cplx,turnover
AG-SYNA05-02,AGENT,SYNA05-02,SYNA05,A,argmax,3.17859374474343,-1.2877332542684552,4.466326999011885,250,5.666666666666667,27.0,0.2072326166666667
AG-SYNA05-02,AGENT,SYNA05-02,SYNA05,A,chosen,3.1680886616022588,-0.9335899785423152,4.1016786401445735,250,6.0,28.333333333333332,
AG-SYNA05-03,AGENT,SYNA05-03,SYNA05,A,argmax,2.1269486039376533,-0.14521715261529866,2.272165756552952,300,5.0,18.666666666666668,0.47907625000000004
AG-SYNA05-03,AGENT,SYNA05-03,SYNA05,A,chosen,2.125605104444108,-0.13722158015841512,2.2628266846025236,300,5.0,18.666666666666668,
AG-SYNA10-00,AGENT,SYNA10-00,SYNA10,A,argmax,3.109852805657905,2.0240688062253436,1.0857839994325613,300,3.0,15.0,0.3750622019377568
AG-SYNA10-00,AGENT,SYNA10-00,SYNA10,A,chosen,3.0961322991558236,1.258056090110185,1.8380762090456386,300,4.0,22.666666666666668,
AG-SYNA10-01,AGENT,SYNA10-01,SYNA10,A,argmax,2.3471157805674525,0.7161629372914672,1.6309528432759852,299,6.0,33.333333333333336,0.3413692872903072
AG-SYNA10-01,AGENT,SYNA10-01,SYNA10,A,chosen,2.3467953477541705,0.6854579626495579,1.6613373851046127,299,5.333333333333333,28.333333333333332,
AG-SYNA10-02,AGENT,SYNA10-02,SYNA10,A,argmax,3.5296068730084493,-1.7774657657094255,5.307072638717875,295,8.666666666666666,29.0,0.3739944639658031
AG-SYNA10-02,AGENT,SYNA10-02,SYNA10,A,chosen,3.5742738501347793,-1.8492709949765198,5.423544845111299,295,9.666666666666666,31.333333333333332,
AG-SYNA10-03,AGENT,SYNA10-03,SYNA10,A,argmax,3.335467062846845,1.0359472694959793,2.299519793350866,299,8.0,35.333333333333336,0.2632199666666667
AG-SYNA10-03,AGENT,SYNA10-03,SYNA10,A,chosen,3.265526417494244,1.143817873622954,2.12170854387129,299,7.333333333333333,31.333333333333332,
AGB-SYN0-00,AGENT,SYN0-00,SYN0,B,argmax,2.573536081415497,-1.205885703059431,3.779421784474928,300,6.0,28.0,0.23371812569105896
