N,k,sr_train,sr_oos,sr_train_sd,panel
100,20,1.8600889969777876,-1.1126529958464855,0.3132815994770369,SYN0-01
200,1,1.4361781049189486,-0.5742048961288646,0.34014540981610825,SYN0-01
200,2,1.4027364833787896,-0.5362147929949626,0.1557478453949809,SYN0-01
200,3,1.6136018610284364,-0.5903290613859713,0.17072293593072463,SYN0-01
200,5,1.8787546191304725,-0.5906412601523292,0.20457705685265767,SYN0-01
200,8,2.1071603310291995,-0.5956545320993727,0.2327013181188035,SYN0-01
200,12,2.2302330664462087,-0.8675044106636177,0.2503009842629519,SYN0-01
200,20,2.356637965876755,-1.5778666748051138,0.22492576116580254,SYN0-01
400,1,1.7249159013540392,-0.9625702095076655,0.23118734931611645,SYN0-01
400,2,1.401907977488252,-0.5796557393884467,0.11516373295840907,SYN0-01
400,3,1.653157977488855,-0.8312677109572126,0.09917775230284674,SYN0-01
400,5,1.8755237364460364,-0.7478138617031437,0.14824489738883304,SYN0-01
400,8,2.1922104895598027,-0.6918985532441644,0.16141601486296872,SYN0-01
400,12,2.426577937312098,-0.8940191726090281,0.1357862883524163,SYN0-01
400,20,2.4979044701957864,-0.5579033941409617,0.18341075185441177,SYN0-01
25,1,0.9048535096882787,-0.312833283084031,0.23204973224459435,SYN0-02
25,2,1.0442303510943423,-0.31838262101504733,0.2941910282203484,SYN0-02
25,3,1.0941915402339155,-0.3460756610882862,0.30954875488839556,SYN0-02
25,5,1.0760938843952337,-0.3865946929084053,0.30374712941996784,SYN0-02
25,8,0.9832624732102394,-0.41340893365512876,0.31287238164926284,SYN0-02
25,12,0.7992716486674339,-0.4001180935857231,0.3141298381515526,SYN0-02
25,20,0.287096042391241,-0.5104258868354412,0.3110994777323804,SYN0-02
50,1,1.0264531687536762,-0.26614899498054884,0.21791956881293142,SYN0-02
50,2,1.273823487931405,-0.38185095122795987,0.2843411598089809,SYN0-02
50,3,1.3194710771151585,-0.45870970013895773,0.3133653917504559,SYN0-02
50,5,1.3908558142326362,-0.499250354666558,0.32711241149171455,SYN0-02
50,8,1.3798128660893234,-0.4428240956972374,0.2915720138861043,SYN0-02
50,12,1.2816349670931546,-0.42712990255181155,0.26835209282595085,SYN0-02
50,20,1.101493419472031,-0.5046389828845297,0.2793041513577295,SYN0-02
100,1,1.167687712060082,-0.25400549711593967,0.17835897434196626,SYN0-02
100,2,1.4522814701234434,-0.37913915598689935,0.2618594987938251,SYN0-02
100,3,1.598636933310072,-0.46339885118710916,0.3397184025382433,SYN0-02
100,5,1.7321655984314648,-0.5836468979588286,0.34666006409308764,SYN0-02
100,8,1.7497964611031493,-0.6716330826352102,0.29559355547345956,SYN0-02
100,12,1.6970546329876208,-0.6026452179619305,0.33166062667154084,SYN0-02
100,20,1.537230894579491,-0.5298704075268678,0.2539250727244357,SYN0-02
200,1,1.2961047465231403,-0.4555903916344662,0.10747977989284482,SYN0-02
200,2,1.6963821468914662,-0.41115780220785625,0.20371633889415247,SYN0-02
200,3,1.901552956234185,-0.36629046773876767,0.25379364362033546,SYN0-02
200,5,2.122622739055238,-0.5870310361036675,0.34159915808856295,SYN0-02
200,8,2.1798094162167883,-0.6122872857754335,0.37183474786681386,SYN0-02
200,12,2.1278813513197408,-0.8478883486475075,0.28195433178474744,SYN0-02
200,20,2.0467819043152,-0.8036983637434733,0.27105043522123085,SYN0-02
400,1,1.3623122072198952,-0.7205493886111509,0.03153087279495174,SYN0-02
