run,arm,panel,legs,cplx,best_is,setting
CS-SYN0-11-s9501,CANON-SAMPLER,SYN0-11,1.0,3.0,0.6348,SYN0
CS-SYNA05-00-s9500,CANON-SAMPLER,SYNA05-00,1.0,3.3333333333333335,0.8188,SYNA05
CS-SYNA05-00-s9501,CANON-SAMPLER,SYNA05-00,1.0,3.3333333333333335,0.8006,SYNA05
CS-SYNA05-01-s9500,CANON-SAMPLER,SYNA05-01,1.0,2.6666666666666665,1.0751,SYNA05
CS-SYNA05-01-s9501,CANON-SAMPLER,SYNA05-01,1.0,2.6666666666666665,1.1485,SYNA05
CS-SYNA05-02-s9500,CANON-SAMPLER,SYNA05-02,1.0,3.0,0.8326,SYNA05
CS-SYNA05-02-s9501,CANON-SAMPLER,SYNA05-02,1.0,3.0,1.0795,SYNA05
CS-SYNA05-03-s9500,CANON-SAMPLER,SYNA05-03,1.0,3.0,1.0723,SYNA05
CS-SYNA05-03-s9501,CANON-SAMPLER,SYNA05-03,1.0,3.0,1.0723,SYNA05
CS-SYNA10-00-s9500,CANON-SAMPLER,SYNA10-00,1.0,2.0,1.521,SYNA10
CS-SYNA10-00-s9501,CANON-SAMPLER,SYNA10-00,1.0,2.0,1.521,SYNA10
CS-SYNA10-01-s9500,CANON-SAMPLER,SYNA10-01,1.0,2.6666666666666665,1.3711,SYNA10
CS-SYNA10-01-s9501,CANON-SAMPLER,SYNA10-01,1.0,2.6666666666666665,1.3711,SYNA10
CS-SYNA10-02-s9500,CANON-SAMPLER,SYNA10-02,1.0,4.0,2.1354,SYNA10
CS-SYNA10-02-s9501,CANON-SAMPLER,SYNA10-02,1.0,3.6666666666666665,2.0977,SYNA10
CS-SYNA10-03-s9500,CANON-SAMPLER,SYNA10-03,1.0,3.3333333333333335,1.0329,SYNA10
CS-SYNA10-03-s9501,CANON-SAMPLER,SYNA10-03,1.0,3.0,1.1729,SYNA10
OPTH-REAL-s9000,OPT-hard,REAL,1.0,2.6666666666666665,1.2772,REAL
OPTH-REAL-s9001,OPT-hard,REAL,1.0,1.0,1.1624,REAL
OPTH-REAL-s9002,OPT-hard,REAL,1.0,2.3333333333333335,1.1624,REAL
