run,arm,panel,strength,sr_oos,canon_plant,canon_plant_sr,anti_plant,anti_plant_sr
AG-SYNA05-00,AGENT,SYNA05-00,0.5,-1.219880921469518,-0.2651291760776333,-0.06320404497473385,0.45149921010064004,0.3276495411975051
AG-SYNA05-01,AGENT,SYNA05-01,0.5,0.21134685028099046,0.21234418378111058,-0.8003059326875509,0.25707875831785315,-1.5227153138850267
AG-SYNA05-02,AGENT,SYNA05-02,0.5,-1.2877332542684552,0.06919092556027412,-0.05682420040633765,0.34389786118905136,-0.23143362705995238
AG-SYNA05-03,AGENT,SYNA05-03,0.5,-0.14521715261529866,-0.5103757220166198,0.3569072148016057,0.687598580487568,-0.7498252819792837
AG-SYNA10-00,AGENT,SYNA10-00,1.0,2.0240688062253436,0.13896130693553937,0.9464331425091449,0.8053062797377037,2.2293216115042416
AG-SYNA10-01,AGENT,SYNA10-01,1.0,0.7161629372914672,0.6391479314072807,-0.04818152368795604,0.5470635065682334,1.206347915170778
AG-SYNA10-02,AGENT,SYNA10-02,1.0,-1.7774657657094255,0.42005757412959915,0.18459144041265738,0.289472003247839,0.9007935762588514
AG-SYNA10-03,AGENT,SYNA10-03,1.0,1.035947269495979,0.44889475579047816,0.7656820451680985,0.3580500822896773,0.8562579841077407
CS-SYNA05-00-s9500,CANON-SAMPLER,SYNA05-00,0.5,-0.6274265484534328,-0.08598709591258281,-0.06320404497473385,0.025659641070361547,0.3276495411975051
CS-SYNA05-00-s9501,CANON-SAMPLER,SYNA05-00,0.5,-0.5292463964412484,-0.07913866775451334,-0.06320404497473385,0.03289563347957037,0.3276495411975051
CS-SYNA05-01-s9500,CANON-SAMPLER,SYNA05-01,0.5,-0.30714937657013264,0.7459070917278002,-0.8003059326875509,0.0713295262854695,-1.5227153138850267
CS-SYNA05-01-s9501,CANON-SAMPLER,SYNA05-01,0.5,-0.3202278779327996,0.7180021918433451,-0.8003059326875509,0.08950749417865743,-1.5227153138850267
