N,k,sr_train,sr_oos,sr_train_se,n_panels
25,1,0.9572153718249959,0.12278277833157585,0.018669519632696304,12
25,2,1.0692100546558188,0.1673452694374685,0.020827551562739913,12
25,3,1.1151895681858046,0.15066958316422238,0.026136371881248167,12
25,5,1.1168186132709403,0.21007451738032704,0.03130504603514483,12
25,8,1.03709178911302,0.25931433717550006,0.0380035767100146,12
25,12,0.8730372701052881,0.29029985900192584,0.04513693467628022,12
25,20,0.3693638335673146,0.31274323671202947,0.06627584772460382,12
50,1,1.1095721532821852,0.128908770559913,0.02990867110273892,12
50,2,1.2697744483033282,0.1664776418554916,0.03036795923893671,12
50,3,1.3525733183356923,0.180306293019295,0.03525601800913194,12
50,5,1.412443616729739,0.19084401404699905,0.03256398517410777,12
50,8,1.4274491934016729,0.21756477736744817,0.035660371728895635,12
50,12,1.3464920725902305,0.27259310976843953,0.04688254027345291,12
50,20,1.1425714266441107,0.35358609919344725,0.0501797768128357,12
100,1,1.2474246743023167,0.10097242302404974,0.04000995727052812,12
100,2,1.4370338790171866,0.13101078840840696,0.04093512638101741,12
100,3,1.5401794866750957,0.18125345209730012,0.04661745559511747,12
100,5,1.6558125526074041,0.22005079058816132,0.052391594635481584,12
100,8,1.7242716151952102,0.20465507932176885,0.05059055695366292,12
100,12,1.7240498295164512,0.1819022576402856,0.04430603027589439,12
100,20,1.6151980720848675,0.3033742785566537,0.051922075542316114,12
200,1,1.3753804297145225,0.06175456061508361,0.051286583408790706,12
200,2,1.588648818469456,0.07989444898741092,0.05835264929024771,12
200,3,1.7054591416495535,0.12831222749311744,0.06726479218676408,12
200,5,1.8431971890082517,0.18819119385017583,0.08186438170053627,12
200,8,1.961547214492161,0.2622900972881662,0.0936745853689688,12
200,12,2.018664498978071,0.26030802045298723,0.09306101520187539,12
200,20,1.9991841115081375,0.18963349923997563,0.06614960244914399,12
400,1,1.487508569639868,0.10786948456896385,0.06806188474215388,12
400,2,1.7330441867160369,0.10423396495000477,0.08406200844086001,12
400,3,1.8371744035221862,-0.06731115216337381,0.09456112919498827,12
400,5,1.9965387291413317,0.03386919456937864,0.11833464583718707,12
400,8,2.1617484849368576,0.15511223266698146,0.1398744920229693,12
400,12,2.276914523182625,0.25796155846124763,0.14620627122112662,12
400,20,2.3322624764850715,0.27632846872055783,0.15453162317964228,12
