run,arm,panel,setting,rule,sr_is,sr_oos,decay
OPTM-SYN0-08-s9002,OPT-medium,SYN0-08,SYN0,argmax,2.1204438217611767,1.3653035754994103,0.7551402462617665
OPTM-SYN0-09-s9000,OPT-medium,SYN0-09,SYN0,chosen,1.4749749093243139,-0.12058882962388238,1.5955637389481963
OPTM-SYN0-09-s9000,OPT-medium,SYN0-09,SYN0,argmax,1.4749749093243139,-0.12058882962388238,1.5955637389481963
OPTM-SYN0-09-s9001,OPT-medium,SYN0-09,SYN0,chosen,1.7135975271127786,-0.7775650146589984,2.491162541771777
OPTM-SYN0-09-s9001,OPT-medium,SYN0-09,SYN0,argmax,1.7135975271127786,-0.7775650146589984,2.491162541771777
OPTM-SYN0-09-s9002,OPT-medium,SYN0-09,SYN0,chosen,2.1155063222860546,-0.925258051737681,3.040764374023736
OPTM-SYN0-09-s9002,OPT-medium,SYN0-09,SYN0,argmax,2.1155063222860546,-0.925258051737681,3.040764374023736
OPTM-SYN0-10-s9000,OPT-medium,SYN0-10,SYN0,chosen,1.4442993628143224,-0.5415023726466492,1.9858017354609716
OPTM-SYN0-10-s9000,OPT-medium,SYN0-10,SYN0,argmax,1.4442993628143224,-0.5415023726466492,1.9858017354609716
OPTM-SYN0-10-s9001,OPT-medium,SYN0-10,SYN0,chosen,1.5135013751286406,1.039959739782586,0.47354163534605465
