run,arm,panel,setting,rule,sr_is,sr_oos,decay
CS-SYNA05-00-s9501,CANON-SAMPLER,SYNA05-00,SYNA05,chosen,0.7975498353483322,-0.5292469796399293,1.3267968149882616
CS-SYNA05-00-s9501,CANON-SAMPLER,SYNA05-00,SYNA05,argmax,0.7975498353483322,-0.5292469796399293,1.3267968149882616
CS-SYNA05-01-s9500,CANON-SAMPLER,SYNA05-01,SYNA05,chosen,1.0748598778257397,-0.3076508387148782,1.3825107165406179
CS-SYNA05-01-s9500,CANON-SAMPLER,SYNA05-01,SYNA05,argmax,1.0748598778257397,-0.3076508387148782,1.3825107165406179
CS-SYNA05-01-s9501,CANON-SAMPLER,SYNA05-01,SYNA05,chosen,1.1562367386446986,-0.3297516781425327,1.4859884167872313
CS-SYNA05-01-s9501,CANON-SAMPLER,SYNA05-01,SYNA05,argmax,1.1562367386446986,-0.3297516781425327,1.4859884167872313
CS-SYNA05-02-s9500,CANON-SAMPLER,SYNA05-02,SYNA05,chosen,1.3018901181617448,-2.9376572456948433,4.239547363856588
CS-SYNA05-02-s9500,CANON-SAMPLER,SYNA05-02,SYNA05,argmax,1.3018901181617448,-2.9376572456948433,4.239547363856588
CS-SYNA05-02-s9501,CANON-SAMPLER,SYNA05-02,SYNA05,chosen,1.3356293663352559,0.23732543414659205,1.0983039321886638
CS-SYNA05-02-s9501,CANON-SAMPLER,SYNA05-02,SYNA05,argmax,1.3356293663352559,0.23732543414659205,1.0983039321886638
CS-SYNA05-03-s9500,CANON-SAMPLER,SYNA05-03,SYNA05,chosen,1.1210744627562292,0.5685978674887547,0.5524765952674745
CS-SYNA05-03-s9500,CANON-SAMPLER,SYNA05-03,SYNA05,argmax,1.1210744627562292,0.5685978674887547,0.5524765952674745
CS-SYNA05-03-s9501,CANON-SAMPLER,SYNA05-03,SYNA05,chosen,1.1210744627562292,0.5685978674887547,0.5524765952674745
CS-SYNA05-03-s9501,CANON-SAMPLER,SYNA05-03,SYNA05,argmax,1.1210744627562292,0.5685978674887547,0.5524765952674745
CS-SYNA10-00-s9500,CANON-SAMPLER,SYNA10-00,SYNA10,chosen,2.0270142253745074,-1.260932952217898,3.2879471775924056
CS-SYNA10-00-s9500,CANON-SAMPLER,SYNA10-00,SYNA10,argmax,2.0270142253745074,-1.260932952217898,3.2879471775924056
CS-SYNA10-00-s9501,CANON-SAMPLER,SYNA10-00,SYNA10,chosen,2.0270142253745074,-1.260932952217898,3.2879471775924056
CS-SYNA10-00-s9501,CANON-SAMPLER,SYNA10-00,SYNA10,argmax,2.0270142253745074,-1.260932952217898,3.2879471775924056
CS-SYNA10-01-s9500,CANON-SAMPLER,SYNA10-01,SYNA10,chosen,1.4051454433759005,-0.2179965122527329,1.6231419556286335
CS-SYNA10-01-s9500,CANON-SAMPLER,SYNA10-01,SYNA10,argmax,1.4051454433759005,-0.2179965122527329,1.6231419556286335
CS-SYNA10-01-s9501,CANON-SAMPLER,SYNA10-01,SYNA10,chosen,1.3819155167409547,0.06352308895445707,1.3183924277864976
CS-SYNA10-01-s9501,CANON-SAMPLER,SYNA10-01,SYNA10,argmax,1.3819155167409547,0.06352308895445707,1.3183924277864976
CS-SYNA10-02-s9500,CANON-SAMPLER,SYNA10-02,SYNA10,chosen,2.2057147982353555,-0.7336731619361949,2.9393879601715502
CS-SYNA10-02-s9500,CANON-SAMPLER,SYNA10-02,SYNA10,argmax,2.2057147982353555,-0.7336731619361949,2.9393879601715502
CS-SYNA10-02-s9501,CANON-SAMPLER,SYNA10-02,SYNA10,chosen,2.560996683590665,-1.2517092451234464,3.812705928714111
CS-SYNA10-02-s9501,CANON-SAMPLER,SYNA10-02,SYNA10,argmax,2.560996683590665,-1.2517092451234464,3.812705928714111
CS-SYNA10-03-s9500,CANON-SAMPLER,SYNA10-03,SYNA10,chosen,1.3680112221365472,0.4652026456268741,0.9028085765096732
CS-SYNA10-03-s9500,CANON-SAMPLER,SYNA10-03,SYNA10,argmax,1.3680112221365472,0.4652026456268741,0.9028085765096732
CS-SYNA10-03-s9501,CANON-SAMPLER,SYNA10-03,SYNA10,chosen,1.6926083148459177,0.6333735721016139,1.0592347427443038
CS-SYNA10-03-s9501,CANON-SAMPLER,SYNA10-03,SYNA10,argmax,1.6926083148459177,0.6333735721016139,1.0592347427443038
OPTH-SYN0-00-s9000,OPT-hard,SYN0-00,SYN0,chosen,1.776301624810817,0.9634412715543753,0.8128603532564417
